job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size
Data Engineer,Mid-level,Full-time,Remote,2024.0,United States,148100.0,USD,148100.0,United States,Medium
Data Engineer,Mid-level,Full-time,Remote,2024.0,United States,98700.0,USD,98700.0,United States,Medium
Data Scientist,Senior-level,Full-time,Remote,2024.0,United States,140032.0,USD,140032.0,United States,Medium
Data Scientist,Senior-level,Full-time,Remote,2024.0,United States,100022.0,USD,100022.0,United States,Medium
BI Developer,Mid-level,Full-time,On-site,2024.0,United States,120000.0,USD,120000.0,United States,Medium
BI Developer,Mid-level,Full-time,On-site,2024.0,United States,62100.0,USD,62100.0,United States,Medium
Research Analyst,Entry-level,Full-time,On-site,2024.0,United States,250000.0,USD,250000.0,United States,Medium
Research Analyst,Entry-level,Full-time,On-site,2024.0,United States,150000.0,USD,150000.0,United States,Medium
Data Engineer,Executive-level,Full-time,Remote,2024.0,United States,219650.0,USD,219650.0,United States,Medium
Data Engineer,Executive-level,Full-time,Remote,2024.0,United States,136000.0,USD,136000.0,United States,Medium
Business Intelligence Developer,Mid-level,Full-time,On-site,2024.0,United States,87800.0,USD,87800.0,United States,Medium
Business Intelligence Developer,Mid-level,Full-time,On-site,2024.0,United States,76300.0,USD,76300.0,United States,Medium
Data Scientist,Mid-level,Full-time,Remote,2024.0,United States,148100.0,USD,148100.0,United States,Medium
Data Scientist,Mid-level,Full-time,Remote,2024.0,United States,98700.0,USD,98700.0,United States,Medium
Data Engineer,,Full-time,On-site,2024.0,United States,145500.0,USD,145500.0,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024.0,United States,93000.0,USD,93000.0,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024.0,United States,85000.0,USD,85000.0,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024.0,United States,75000.0,USD,75000.0,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024.0,United States,105000.0,USD,105000.0,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024.0,United States,70000.0,USD,70000.0,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024.0,United States,204662.0,USD,204662.0,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024.0,United States,184662.0,USD,184662.0,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024.0,United States,179000.0,USD,179000.0,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024.0,United States,112000.0,USD,112000.0,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024.0,United States,115000.0,USD,115000.0,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024.0,United States,85000.0,USD,85000.0,United States,Medium
Director of Data Science,Executive-level,Full-time,On-site,2024.0,United States,225000.0,USD,225000.0,United States,Medium
,Executive-level,Full-time,On-site,2024.0,United States,,USD,180000.0,United States,Medium
MLOps Engineer,Senior-level,Full-time,On-site,2024.0,United States,175000.0,USD,175000.0,United States,Medium
MLOps Engineer,Senior-level,Full-time,On-site,2024.0,United States,110000.0,USD,110000.0,United States,Medium
Machine Learning Scientist,,Full-time,On-site,2024.0,United States,252000.0,USD,252000.0,United States,Medium
Machine Learning Scientist,Senior-level,Full-time,On-site,2024.0,United States,157500.0,USD,157500.0,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024.0,United States,267900.0,USD,267900.0,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024.0,United States,234700.0,USD,234700.0,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024.0,United States,195500.0,USD,195500.0,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024.0,United States,68000.0,USD,68000.0,United States,Medium
Data Science Manager,Senior-level,Full-time,Remote,2024.0,United States,120000.0,USD,120000.0,United States,Medium
Data Science Manager,Senior-level,Full-time,Remote,2024.0,United States,90000.0,USD,90000.0,United States,Medium
